,Unnamed: 0,objid,u,g,r,i,z,redshift
0,38961,1237665355619238171,19.24956,17.73069,16.74191,16.26377,15.86265,0.12957020366485292
1,23750,1237662307805364513,18.54511,17.13545,16.3116,15.864120000000002,15.58756,0.11683793873530268
2,15644,1237657591395123370,18.75322,17.74889,17.11328,16.73893,16.4719,0.13072676776404335
3,40641,1237667293730373721,19.3341,18.40721,17.63578,17.18365,16.93425,0.18787931055462975
4,37578,1237664852026916979,19.62918,18.26902,17.5488,17.17748,16.88937,0.13040455033537562
5,26704,1237662268077179126,18.86693,17.66246,17.0026,16.64167,16.36755,0.11833620566549248
6,23538,1237662267530739936,19.094520000000006,18.17178,17.78143,17.515610000000002,17.39716,0.12203470158767508
7,20581,1237661383844102384,19.73222,18.59211,17.831310000000006,17.382189999999998,17.17219,0.15555315237299686
8,7709,1237650372094197798,19.9927,18.22375,17.33932,17.03605,16.70736,0.12989071720777293
9,1215,1237651539779977398,19.12123,18.26765,17.78629,17.49703,17.40411,0.13109139255293473
10,39186,1237666214607454371,20.06263,19.28527,18.75451,18.41531,18.29688,0.17128710738740216
11,26587,1237662198819717330,19.12682,18.05033,17.5351,17.25164,17.07413,0.12582017388822594
12,31071,1237664105243607346,19.98813,18.61741,17.80698,17.31767,17.0665,0.16749230179745733
13,9635,1237655746705228066,18.75094,17.68777,17.18786,16.86196,16.68429,0.11971909568301849
14,39925,1237665428641022215,19.13271,18.31255,18.004939999999994,17.66256,17.57741,0.12991322595308233
15,20623,1237661383851573391,18.7706,16.78424,15.769620000000002,15.331829999999998,14.99126,0.11197514784272965
16,43810,1237667551955779732,18.81066,17.60139,16.93274,16.56844,16.295370000000002,0.12121349751552182
17,931,1237651538179063967,19.29275,18.21649,17.63035,17.32541,17.1596,0.1249663434333108
18,29633,1237664671643664581,19.26775,17.36626,16.38382,15.98022,15.62253,0.11571959687970253
19,10506,1237651753474326686,19.51295,18.37335,17.654889999999995,17.261329999999994,16.98548,0.1427401398478515
20,20963,1237660614509002915,18.4541,17.17952,16.480079999999994,16.07915,15.81611,0.11478064785690394
21,16690,1237660584981102719,19.51276,17.68917,16.701079999999994,16.298,15.97538,0.11684957909001183
22,41535,1237667781774409899,19.84249,18.074720000000006,17.172079999999998,16.73343,16.4263,0.12869215967376696
23,32089,1237664093979541645,18.76806,17.368679999999998,16.580029999999994,16.21151,15.93295,0.11858054224944543
24,15493,1237658802575245570,18.86628,17.81271,17.23848,16.88608,16.686529999999998,0.12432801910873748
25,5823,1237655502958559500,18.31223,16.31415,15.28596,14.78995,14.389970000000002,0.11413286045630124
26,4949,1237653652376977470,19.32346,18.46089,18.0416,17.650370000000006,17.52532,0.1493131304533546
27,21495,1237661388152701026,18.79043,18.02952,17.660610000000005,17.393539999999998,17.33707,0.14336477974909378
28,47358,1237671261195600368,18.37562,17.20897,16.56789,16.217370000000006,15.974379999999998,0.1141970102824451
29,12704,1237657595151778023,19.53794,18.39312,17.947879999999994,17.556739999999998,17.46283,0.125161663293378
30,22950,1237662195614351556,19.86044,18.398,17.56413,17.1617,16.87296,0.13428729905934036
31,1614,1237648721762713814,20.01368,18.61157,17.871570000000006,17.39951,17.12408,0.15321712874190177
32,37326,1237665535463784632,19.40001,18.31611,17.72166,17.297520000000002,17.06727,0.13624034305891453
33,17940,1237661382773702866,18.97675,17.91743,17.31844,16.91186,16.70305,0.13302068836716527
34,49351,1237667542826680438,19.52343,18.49773,17.7924,17.44363,17.22095,0.17035602664758512
35,16686,1237660584979857651,19.02488,17.868029999999994,17.30855,16.93804,16.73345,0.12301220668061089
36,42073,1237667253470036078,18.91797,18.25492,17.913729999999994,17.53353,17.56881,0.13674298909523808
37,47805,1237674651534557268,19.56423,19.14647,18.80008,18.60724,18.65789,0.1833214191058201
38,26438,1237661971719389431,19.00074,17.87756,17.3254,17.02871,16.81718,0.1186986471931893
39,30946,1237664291001991340,19.356720000000006,18.09882,17.43263,17.00296,16.78223,0.12551354067565507
40,17583,1237659162279149949,19.8623,18.64881,17.823320000000006,17.40427,17.07346,0.17802409749635104
41,48837,1237670965385756917,19.12443,17.93542,17.27574,16.82755,16.61423,0.1345951624506592
42,43306,1237668585435168787,18.81436,16.83535,15.821079999999998,15.37323,14.98543,0.11330193729471606
43,49344,1237678617430655180,19.58221,18.73701,18.28606,17.94221,17.8646,0.14747875395927162
44,16086,1237660960793952396,19.38038,17.8316,17.08547,16.63141,16.33685,0.12053928452790567
45,6491,1237655108373905488,19.49834,18.33336,17.52939,17.13326,16.8894,0.1539319833574669
46,25217,1237662238542004332,19.39223,17.8324,16.95149,16.537229999999994,16.233320000000006,0.12375830394389403
47,12478,1237657627915911260,19.41972,18.3271,17.73094,17.39977,17.1971,0.13333730546625297
48,18999,1237661355929370764,19.22916,17.74578,16.88919,16.48095,16.14501,0.1271472093149885
49,7020,1237655473967726899,18.97263,17.61327,16.80181,16.35014,16.03831,0.12415992453877774
50,17207,1237660024524374136,18.93266,18.20069,17.55434,17.13338,16.897879999999994,0.16790127086166803
51,8360,1237654599955447922,19.4586,17.793110000000006,16.92474,16.49615,16.1933,0.12232648952461084
52,31804,1237663531332600008,19.49613,18.18615,17.51127,17.08928,16.86882,0.13063410110603654
53,36491,1237665427556466738,19.18883,18.19256,17.507279999999998,17.14291,16.85759,0.14978196032046592
54,45969,1237668315920859323,19.48958,18.29875,17.72213,17.34021,17.17403,0.12394348005781784
55,46781,1237667914880581772,19.63678,18.33332,17.63403,17.1891,16.91071,0.132867391393405
56,27148,1237663716019208370,19.62585,18.94326,18.76115,18.54018,18.53705,0.1775161565502645
57,40952,1237667429573853329,18.62039,17.82106,17.54159,17.312520000000006,17.2482,0.12086171906230113
58,24348,1237661433242648703,19.37804,18.19593,17.57295,17.25696,17.07658,0.13136415969371806
59,14348,1237657612337676458,18.95082,17.2726,16.295939999999998,15.81662,15.44884,0.11435935624503252
60,26616,1237662199353311385,19.47837,18.64425,18.26174,17.96276,17.907420000000005,0.15300271735388007
61,14416,1237660763768488154,19.61851,18.436,17.858539999999994,17.45356,17.29324,0.1294488878318722
62,1575,1237648720160424096,19.52472,17.91455,16.9189,16.4262,16.0396,0.1330584304886678
63,47434,1237668367462564169,18.8289,17.85681,17.33942,16.99063,16.82018,0.12071493991272786
64,48667,1237674290220433416,19.17967,17.77218,16.98476,16.55198,16.29254,0.13014835006545153
65,12942,1237659119868707022,18.81159,17.80281,17.30881,16.969179999999998,16.799429999999994,0.11965539343901693
66,5520,1237655369289564364,19.55904,18.01506,17.28956,16.88861,16.59611,0.12317273973057602
67,15523,1237657402416300286,19.18792,18.27243,17.76075,17.40437,17.23907,0.13519716693495895
68,44216,1237667539079921840,19.66509,18.89089,18.29811,17.94363,17.757479999999994,0.1743852548738648
69,44145,1237667912752431295,19.23498,18.12547,17.46047,17.10463,16.91565,0.13814789186490567
70,16030,1237658493351035051,18.32507,16.291079999999994,15.22771,14.78971,14.4334,0.11138357798421872
71,22675,1237661812809072784,19.49197,18.12778,17.38237,16.93058,16.68806,0.13003573547063155
72,44798,1237667735052550396,19.54297,18.31462,17.44625,16.97765,16.63306,0.15338869665677407
73,41405,1237667429010375195,19.19809,18.48392,18.12527,17.88265,17.876089999999994,0.1457716302180833
74,3423,1237655106764472430,19.4983,18.15682,17.40814,16.97974,16.696620000000006,0.1331300201060289
75,3593,1237651250943361233,19.24778,17.78756,17.00001,16.53772,16.21866,0.12550163359126118
76,1855,1237648722300502190,19.20366,18.12193,17.66713,17.39773,17.26309,0.12106673631836001
77,10168,1237655498134716716,18.75864,17.52092,16.87773,16.46425,16.222379999999998,0.12303486021258773
78,46673,1237667323260764303,18.79086,17.75558,17.299879999999998,16.95969,16.83022,0.11850589793594592
79,38561,1237667252940832826,19.3903,18.195,17.49929,17.07637,16.85365,0.13743066586093156
80,32689,1237662637442531611,19.08559,17.26277,16.28933,15.84637,15.49146,0.11549715387147945
81,21416,1237661387615567958,19.13302,17.86647,17.063670000000002,16.620160000000002,16.30282,0.1311951880729491
82,1103,1237651249882726495,19.43059,17.58364,16.49312,16.039179999999998,15.70019,0.12345583968544051
83,8930,1237654028717785184,19.16504,17.044420000000002,15.99101,15.56027,15.16969,0.1155879902920026
84,17689,1237661136886956251,19.7648,18.22693,17.39903,16.91969,16.6288,0.1380359027106836
85,11547,1237658204524249187,19.23907,18.44572,17.92202,17.583289999999998,17.4227,0.15804637809208988
86,23344,1237659330847244501,19.06825,18.23468,17.68767,17.30473,17.11348,0.14683435377071516
87,6430,1237655108362043523,19.34596,18.22844,17.65494,17.30345,17.106679999999994,0.12784802948808613
88,12559,1237655463778255014,19.52379,18.75478,18.30518,18.00394,17.9509,0.15013115582519293
89,7440,1237653613185204349,19.84767,18.1221,17.266270000000002,16.92608,16.62911,0.1295583413473219
90,13259,1237659146168959083,19.17719,17.68101,16.8903,16.42526,16.10171,0.12703578784504585
91,39225,1237667448885674260,18.45405,16.59013,15.50651,15.04447,14.663529999999998,0.116077100442616
92,17078,1237660635992096927,18.6352,17.11368,16.325879999999998,15.889170000000002,15.56189,0.11795284810142817
93,45279,1237667783344063153,19.52759,18.33455,17.73191,17.37611,17.198439999999998,0.12820328929473213
94,21362,1237661150846910665,18.72242,17.276239999999998,16.48421,16.09039,15.81414,0.1156584041605043
95,39312,1237664338243420255,18.34655,17.27439,16.68831,16.33455,16.14025,0.11477152147147342
96,26147,1237661382771998891,19.33108,18.25848,17.51875,17.130489999999998,16.872629999999994,0.15635121168723493
97,44844,1237668288549617805,18.45209,17.28976,16.637970000000006,16.28762,16.011670000000002,0.11517063279733805
98,22486,1237659163354858186,19.18558,18.2041,17.64432,17.31015,17.17861,0.13137162608068137
99,42259,1237668271373287609,19.5048,18.04467,17.257620000000006,16.800929999999994,16.49227,0.12943041825874976
100,41486,1237668299291033676,19.52776,17.88958,17.0561,16.69051,16.395979999999998,0.12046339768742358
101,36572,1237665428105527487,19.51024,18.4147,17.8476,17.47087,17.32382,0.1313315822187629
102,9698,1237656241163993494,19.46846,17.895570000000006,17.05264,16.6311,16.31889,0.12377382625031236
103,41811,1237667550881185892,19.09866,17.95175,17.37892,17.02703,16.79564,0.12626729436953582
104,3261,1237650371017834723,19.0511,17.72092,16.87432,16.44105,16.12228,0.135830586999596
105,15724,1237660634385350716,19.22855,18.11039,17.60345,17.273120000000002,17.06917,0.1230534760324778
106,6736,1237655374647197888,18.95264,17.85679,17.28435,16.87386,16.64775,0.1250463713640687
107,14106,1237658609833410759,18.43338,17.172539999999998,16.546110000000002,16.2208,15.98604,0.1151188432904501
108,24884,1237662301900832916,19.28925,17.9874,17.32118,16.88551,16.665570000000002,0.12677732776673467
109,25156,1237661417138028573,18.60561,17.40178,16.79907,16.460279999999994,16.203310000000002,0.11822060858397491
110,41558,1237667781778735340,19.47103,18.32305,17.84809,17.57019,17.37292,0.12650211430863761
111,32154,1237664672716095697,19.4927,18.31385,17.64271,17.26355,17.01653,0.1380525831985435
112,11749,1237658203432091761,19.42027,18.35146,17.854689999999994,17.53265,17.37643,0.13325413644737988
113,4528,1237651067348058222,17.63394,16.94615,16.59242,16.16335,16.12173,0.11956497903958715
114,38090,1237667255626432633,18.38232,16.46065,15.59171,15.18235,14.85587,0.11049834583243377
115,11663,1237658203417542830,18.51377,17.82062,17.38091,16.95114,16.88349,0.12925259795186822
116,13161,1237656241708073187,19.16093,18.0375,17.37673,17.02511,16.770789999999998,0.13561205041452312
117,45085,1237668590800797852,18.861320000000006,16.75488,15.71563,15.22344,14.90042,0.11245339720531655
118,34201,1237665180056158433,18.82831,17.44887,16.73987,16.34675,16.042360000000002,0.11754329529843008
119,42307,1237667111189414044,19.24297,18.08729,17.63861,17.29784,17.19612,0.12171826880038858
120,39866,1237667783370408031,19.34486,18.34354,17.72077,17.37796,17.14286,0.14500970406785943
121,12980,1237658206125031562,19.00153,17.509420000000002,16.630779999999998,16.16613,15.85095,0.11832418238325813
122,1000,1237651250955419812,19.11805,17.92451,17.13901,16.72015,16.48834,0.14600432188544324
123,30525,1237661463309910404,19.25667,18.20036,17.713060000000006,17.38885,17.18086,0.12534487541076753
124,29959,1237663530798416048,19.2513,17.44452,16.58413,16.22343,15.91533,0.11743890351203326
125,29423,1237662337870397804,19.81564,18.47458,17.64208,17.194860000000002,16.93056,0.13884926462296943
126,17145,1237655465396207861,18.8851,17.504,16.66437,16.253220000000002,15.97695,0.11938987799594974
127,15218,1237657776619520221,19.37552,18.20462,17.60514,17.186,16.94887,0.1368090726457469
128,14999,1237658203984167035,19.38791,18.16535,17.388460000000002,16.95383,16.64685,0.14010314015416458
129,11708,1237658203424096369,19.18581,18.49377,18.16874,17.907339999999994,17.855999999999995,0.1458528344403055
130,5494,1237651539250839600,18.37883,16.32108,15.30301,14.84614,14.496379999999998,0.1109432747871343
