,objid,u,g,r,i,z
38961,1237665355619238171,19.24956,17.73069,16.74191,16.26377,15.86265
23750,1237662307805364513,18.54511,17.13545,16.3116,15.864120000000002,15.58756
15644,1237657591395123370,18.753220000000002,17.74889,17.11328,16.73893,16.4719
40641,1237667293730373721,19.3341,18.40721,17.63578,17.18365,16.93425
37578,1237664852026916979,19.629179999999998,18.26902,17.5488,17.17748,16.88937
26704,1237662268077179126,18.86693,17.66246,17.0026,16.64167,16.36755
23538,1237662267530739936,19.094520000000003,18.17178,17.78143,17.515610000000002,17.39716
20581,1237661383844102384,19.73222,18.59211,17.831310000000002,17.382189999999998,17.17219
7709,1237650372094197798,19.9927,18.22375,17.33932,17.03605,16.70736
1215,1237651539779977398,19.121229999999997,18.26765,17.78629,17.49703,17.40411
39186,1237666214607454371,20.06263,19.28527,18.75451,18.41531,18.296879999999998
26587,1237662198819717330,19.126820000000002,18.05033,17.5351,17.25164,17.07413
31071,1237664105243607346,19.988129999999998,18.61741,17.80698,17.31767,17.0665
9635,1237655746705228066,18.75094,17.68777,17.18786,16.86196,16.68429
39925,1237665428641022215,19.13271,18.31255,18.004939999999998,17.66256,17.57741
20623,1237661383851573391,18.7706,16.78424,15.769620000000002,15.331829999999998,14.99126
43810,1237667551955779732,18.810660000000002,17.60139,16.93274,16.56844,16.295370000000002
931,1237651538179063967,19.29275,18.21649,17.63035,17.32541,17.1596
29633,1237664671643664581,19.26775,17.36626,16.38382,15.980220000000001,15.62253
10506,1237651753474326686,19.51295,18.37335,17.654889999999998,17.261329999999997,16.98548
20963,1237660614509002915,18.4541,17.17952,16.480079999999997,16.07915,15.81611
16690,1237660584981102719,19.51276,17.68917,16.701079999999997,16.298,15.97538
41535,1237667781774409899,19.842489999999998,18.074720000000003,17.172079999999998,16.73343,16.4263
32089,1237664093979541645,18.768060000000002,17.368679999999998,16.580029999999997,16.21151,15.93295
15493,1237658802575245570,18.86628,17.81271,17.23848,16.88608,16.686529999999998
5823,1237655502958559500,18.31223,16.31415,15.285960000000001,14.78995,14.389970000000002
4949,1237653652376977470,19.32346,18.46089,18.0416,17.650370000000002,17.52532
21495,1237661388152701026,18.790429999999997,18.02952,17.660610000000002,17.393539999999998,17.33707
47358,1237671261195600368,18.37562,17.20897,16.56789,16.217370000000003,15.974379999999998
12704,1237657595151778023,19.53794,18.39312,17.947879999999998,17.556739999999998,17.46283
22950,1237662195614351556,19.86044,18.398,17.56413,17.1617,16.87296
1614,1237648721762713814,20.013679999999997,18.61157,17.871570000000002,17.39951,17.12408
37326,1237665535463784632,19.40001,18.316110000000002,17.72166,17.297520000000002,17.06727
17940,1237661382773702866,18.97675,17.91743,17.31844,16.91186,16.70305
49351,1237667542826680438,19.523429999999998,18.497729999999997,17.7924,17.44363,17.22095
16686,1237660584979857651,19.02488,17.868029999999997,17.30855,16.93804,16.73345
42073,1237667253470036078,18.91797,18.254920000000002,17.913729999999997,17.53353,17.56881
47805,1237674651534557268,19.56423,19.14647,18.800079999999998,18.60724,18.65789
26438,1237661971719389431,19.00074,17.87756,17.3254,17.02871,16.81718
30946,1237664291001991340,19.356720000000003,18.09882,17.43263,17.00296,16.78223
17583,1237659162279149949,19.8623,18.64881,17.823320000000002,17.40427,17.07346
48837,1237670965385756917,19.12443,17.93542,17.27574,16.82755,16.61423
43306,1237668585435168787,18.81436,16.83535,15.821079999999998,15.37323,14.98543
49344,1237678617430655180,19.58221,18.73701,18.28606,17.94221,17.8646
16086,1237660960793952396,19.38038,17.8316,17.08547,16.63141,16.33685
6491,1237655108373905488,19.49834,18.33336,17.52939,17.13326,16.8894
25217,1237662238542004332,19.392229999999998,17.8324,16.95149,16.537229999999997,16.233320000000003
12478,1237657627915911260,19.41972,18.3271,17.73094,17.39977,17.1971
18999,1237661355929370764,19.22916,17.74578,16.88919,16.48095,16.14501
7020,1237655473967726899,18.97263,17.61327,16.80181,16.35014,16.03831
17207,1237660024524374136,18.932660000000002,18.200689999999998,17.55434,17.13338,16.897879999999997
8360,1237654599955447922,19.4586,17.793110000000002,16.92474,16.49615,16.1933
31804,1237663531332600008,19.496129999999997,18.18615,17.51127,17.08928,16.86882
36491,1237665427556466738,19.18883,18.19256,17.507279999999998,17.14291,16.85759
45969,1237668315920859323,19.48958,18.29875,17.72213,17.34021,17.17403
46781,1237667914880581772,19.636779999999998,18.33332,17.63403,17.1891,16.91071
27148,1237663716019208370,19.62585,18.943260000000002,18.76115,18.54018,18.53705
40952,1237667429573853329,18.62039,17.82106,17.54159,17.312520000000003,17.2482
24348,1237661433242648703,19.37804,18.19593,17.57295,17.25696,17.07658
14348,1237657612337676458,18.95082,17.2726,16.295939999999998,15.81662,15.448839999999999
26616,1237662199353311385,19.47837,18.64425,18.26174,17.96276,17.907420000000002
14416,1237660763768488154,19.61851,18.436,17.858539999999998,17.45356,17.29324
1575,1237648720160424096,19.524720000000002,17.91455,16.9189,16.4262,16.0396
47434,1237668367462564169,18.8289,17.85681,17.33942,16.99063,16.82018
48667,1237674290220433416,19.17967,17.77218,16.98476,16.55198,16.29254
12942,1237659119868707022,18.81159,17.80281,17.30881,16.969179999999998,16.799429999999997
5520,1237655369289564364,19.55904,18.015060000000002,17.28956,16.88861,16.59611
15523,1237657402416300286,19.187920000000002,18.27243,17.76075,17.40437,17.23907
44216,1237667539079921840,19.66509,18.89089,18.29811,17.94363,17.757479999999997
44145,1237667912752431295,19.23498,18.12547,17.46047,17.10463,16.91565
16030,1237658493351035051,18.32507,16.291079999999997,15.22771,14.789710000000001,14.4334
22675,1237661812809072784,19.491970000000002,18.127779999999998,17.38237,16.93058,16.68806
44798,1237667735052550396,19.54297,18.31462,17.44625,16.97765,16.63306
41405,1237667429010375195,19.19809,18.48392,18.12527,17.88265,17.876089999999998
3423,1237655106764472430,19.4983,18.15682,17.40814,16.97974,16.696620000000003
3593,1237651250943361233,19.24778,17.78756,17.00001,16.53772,16.21866
1855,1237648722300502190,19.20366,18.12193,17.66713,17.39773,17.26309
10168,1237655498134716716,18.75864,17.52092,16.87773,16.46425,16.222379999999998
46673,1237667323260764303,18.790860000000002,17.75558,17.299879999999998,16.95969,16.83022
38561,1237667252940832826,19.3903,18.195,17.49929,17.07637,16.85365
32689,1237662637442531611,19.08559,17.26277,16.28933,15.84637,15.49146
21416,1237661387615567958,19.133020000000002,17.86647,17.063670000000002,16.620160000000002,16.30282
1103,1237651249882726495,19.43059,17.58364,16.49312,16.039179999999998,15.70019
8930,1237654028717785184,19.16504,17.044420000000002,15.991010000000001,15.560270000000001,15.16969
17689,1237661136886956251,19.7648,18.22693,17.39903,16.91969,16.6288
11547,1237658204524249187,19.23907,18.44572,17.92202,17.583289999999998,17.4227
23344,1237659330847244501,19.06825,18.234679999999997,17.68767,17.30473,17.11348
6430,1237655108362043523,19.34596,18.22844,17.65494,17.30345,17.106679999999997
12559,1237655463778255014,19.523789999999998,18.75478,18.30518,18.00394,17.9509
