,objid,u,g,r,i,z,redshift
29671,1237662525769187516,19.03254,17.53075,16.68254,16.26698,15.916870000000001,0.1179739
30802,1237663783119749306,18.683770000000003,17.65,16.953020000000002,16.51959,16.24416,0.1487592
5529,1237655369291333767,19.42345,18.26802,17.752270000000003,17.4158,17.22019,0.13207660000000002
5549,1237655369818832904,19.40156,18.25199,17.5245,17.075429999999997,16.86719,0.192305
46499,1237668350286168193,19.31266,18.28381,17.6447,17.28023,17.07325,0.1447059
16591,1237660562430820635,19.11936,18.38896,17.95251,17.6273,17.570220000000003,0.18345870000000003
29075,1237662500536451184,19.56012,18.12631,17.38782,16.94773,16.67176,0.1054796
9978,1237657629503128151,19.89336,18.93656,18.442989999999998,18.020139999999998,17.94308,0.1224506
33772,1237665015236264061,18.562479999999997,17.184620000000002,16.45497,16.05728,15.788920000000001,0.12129780000000001
8715,1237652942088503529,19.21444,18.34106,17.88543,17.5241,17.50414,0.1271162
18604,1237660765372875044,19.23866,18.338739999999998,17.858829999999998,17.51519,17.3883,0.1082308
10706,1237654398621122727,18.94654,17.750999999999998,17.13566,16.74815,16.51526,0.1100025
40728,1237666300019474573,19.12249,18.38283,17.98392,17.72559,17.64029,0.16221129999999997
39284,1237664337713299586,19.85913,19.0661,18.43809,18.1098,17.89929,0.23399629999999996
9177,1237655463240400989,19.35493,18.15059,17.56266,17.188270000000003,16.95966,0.15088729999999997
19477,1237661086422466747,19.45177,17.97789,17.10558,16.66593,16.30617,0.12084400000000001
15805,1237658203962605653,19.22339,17.323079999999997,16.35052,15.930829999999998,15.57035,0.1099007
2970,1237654399163891802,19.51257,17.56485,16.50862,16.07621,15.71245,0.1404779
22348,1237661871863562369,19.362029999999997,17.73404,16.86763,16.430020000000003,16.0937,0.1021631
23977,1237661352167473334,19.60751,18.392689999999998,17.790029999999998,17.44501,17.26511,0.14791479999999999
308,1237648704586055838,19.0725,18.0419,17.38479,17.027260000000002,16.83342,0.14478310000000003
32543,1237663458852864420,19.69799,18.85966,18.60577,18.36984,18.4379,0.1151249
25371,1237661388675219554,18.84147,17.27058,16.32767,15.89724,15.548010000000001,0.1340137
38081,1237667255624925301,18.043,16.72256,16.334210000000002,16.11853,15.999239999999999,0.41276450000000003
36504,1237665427558957198,19.02656,17.56602,16.768829999999998,16.37219,16.08758,0.113195
45874,1237671938730361187,18.95867,17.80039,17.19988,16.82013,16.6219,0.11527069999999999
4674,1237651735750770767,18.811870000000003,16.84636,15.811229999999998,15.36713,15.01694,0.102546
36881,1237664878345846840,18.941779999999998,17.87361,17.29552,16.95658,16.74869,0.1080509
32990,1237663784747466988,18.899829999999998,17.79851,17.34469,17.05227,16.84253,0.1160105
27855,1237662663754383423,18.74469,17.35756,16.67159,16.30123,16.0627,0.10486480000000001
8494,1237654605852574117,19.73558,18.44059,17.74856,17.3105,17.047539999999998,0.10782339999999999
16166,1237661124540694817,19.609579999999998,18.34443,17.49312,17.05027,16.7724,0.1025242
42852,1237667536926409118,19.32016,18.58643,17.79172,17.32347,17.087979999999998,0.2019203
12605,1237658492812525675,19.211470000000002,18.30623,17.67657,17.33586,17.126829999999998,0.2264687
48070,1237667537994711571,19.0594,17.02512,16.02046,15.58366,15.242320000000001,0.10737260000000001
8888,1237653665795997880,19.63775,19.12881,18.44527,18.01053,17.91046,0.196158
4846,1237652598496297115,19.89622,19.485039999999998,18.80659,18.55336,18.19511,0.3054906
10897,1237657628974121248,19.34556,17.66356,16.6428,16.18742,15.7974,0.13618129999999998
42822,1237667536400482466,18.5433,17.50283,16.9112,16.533170000000002,16.33644,0.1417674
26852,1237663277927432314,19.3829,18.27151,17.75131,17.41183,17.28554,0.1234724
36594,1237665015773790393,18.70686,18.03685,17.67321,17.408720000000002,17.36399,0.18384589999999998
7425,1237653612647153838,19.17275,17.99404,17.386670000000002,17.0608,16.82828,0.1284377
45768,1237668624086138940,19.90158,18.00256,17.04521,16.65928,16.32085,0.1075052
43050,1237662474230825193,18.703960000000002,17.540370000000003,16.854589999999998,16.47454,16.25168,0.138096
44983,1237667782296535131,19.33238,18.385270000000002,17.61356,17.22505,16.97042,0.1954736
39324,1237664338247418032,18.44931,17.17207,16.51653,16.141170000000002,15.894179999999999,0.1189376
18690,1237660634922483884,19.13955,17.85595,17.204060000000002,16.816489999999998,16.581879999999998,0.12411969999999999
44678,1237670957324435542,19.4182,18.109360000000002,17.3549,16.9256,16.670070000000003,0.1362205
10362,1237655368759115981,19.372139999999998,18.17783,17.39622,16.97227,16.74588,0.1507213
12400,1237656495651356966,19.18432,17.32023,16.2561,15.81054,15.425139999999999,0.1320458
49977,1237668271896723634,18.472929999999998,17.2273,16.47587,16.07054,15.76201,0.1101895
25006,1237662262172516582,19.44614,18.0131,17.124760000000002,16.68825,16.33566,0.1429106
37311,1237665534926586176,18.74871,17.44284,16.69342,16.28885,15.961829999999999,0.1256272
17936,1237661382772916344,19.43036,17.642139999999998,16.76801,16.36467,16.1307,0.1304254
10198,1237655498673291558,18.82777,17.490679999999998,16.80312,16.36415,16.114639999999998,0.10884849999999999
48060,1237667537472192556,19.28325,17.95819,17.2368,16.88747,16.60701,0.11149849999999999
18783,1237661386006593792,19.29503,18.29146,17.68036,17.30894,17.135479999999998,0.1279149
46320,1237671262280286414,19.4054,18.46504,17.95089,17.63971,17.46544,0.1264729
33065,1237662619189117145,19.169610000000002,18.451929999999997,18.17472,17.85507,17.80939,0.12012069999999998
3402,1237654954813095959,18.8383,17.3186,16.49257,16.05043,15.761679999999998,0.1285462
40014,1237667733952856247,19.40405,18.11498,17.38423,16.97663,16.70155,0.12227819999999999
20654,1237661210434863354,19.34926,18.08079,17.425810000000002,17.05218,16.83745,0.12909500000000002
30300,1237661966892925072,19.3506,17.959139999999998,17.24791,16.85951,16.57035,0.1214493
9463,1237653588479770995,19.35359,17.70557,16.77807,16.40689,16.09359,0.1125247
32244,1237664870825721968,19.45434,18.07677,17.32855,16.90263,16.58718,0.11937460000000001
19159,1237660637073309828,19.09724,18.12519,17.64066,17.328429999999997,17.19073,0.1189184
48825,1237670965381235020,19.26748,17.9711,17.29424,16.89422,16.60661,0.1054991
1029,1237651250968133763,18.97232,17.88055,17.34649,17.01398,16.847579999999997,0.1184622
38066,1237667255619354697,18.76843,17.2284,16.43937,16.01105,15.6916,0.1059152
5331,1237654599945617667,19.35888,17.969479999999997,17.234,16.85594,16.57921,0.1286545
41210,1237667211599347857,19.15465,18.03256,17.5509,17.19197,17.064220000000002,0.1070325
12114,1237651736845222158,19.63676,19.202939999999998,18.86008,18.499489999999998,18.40549,0.1478783
17650,1237659163349025276,18.78641,16.94502,16.030079999999998,15.63454,15.320310000000001,0.10603119999999999
27835,1237662307807658118,19.52681,18.6776,18.26657,17.95753,17.8171,0.132299
796,1237648721784013018,19.18198,17.37111,16.45757,16.01354,15.6771,0.1023573
31402,1237664667906801840,18.65568,17.57208,17.10578,16.77589,16.66945,0.13459279999999998
27503,1237662264324456709,19.78029,18.61226,17.753629999999998,17.32266,17.07665,0.17294849999999998
692,1237648702982062336,19.47731,18.75975,18.33845,17.9675,17.901410000000002,0.1812425
3783,1237651252558364868,19.51014,17.922060000000002,17.017689999999998,16.52419,16.19406,0.14724879999999999
1868,1237648722303254745,19.07179,17.49565,16.64676,16.232470000000003,15.900720000000002,0.12573800000000002
18709,1237660634926678156,18.386129999999998,16.94064,16.10909,15.69452,15.393379999999999,0.10531320000000001
15668,1237660614514507907,18.7993,16.86779,15.89187,15.485479999999999,15.12394,0.1018114
5172,1237651754001694883,20.00583,19.47713,19.09522,18.8608,18.7982,0.186169
